,Department,CourseNumber,Credits,Prerequisites
0,AEIS,101,4,
1,AEIS,102,4,
2,AEIS,107,4,
3,AEIS,108,4,['AEIS\xa0107']
4,AEIS,110,4,
5,AEIS,111,4,
6,AEIS,112,4,"['AEIS\xa0110', 'AEIS\xa0111']"
7,AEIS,199,1-5,
8,AEIS,610,1-5,
9,ACTG,199,1-5,
10,ACTG,340,4,"['BA\xa0211', 'MGMT\xa0335']"
11,ACTG,350,4,"['BA\xa0213', 'BA\xa0215', 'BA\xa0101', 'BA\xa0240', 'EC\xa0201', 'MATH\xa0241', 'MATH\xa0251', 'STAT\xa0243', 'MATH\xa0345', 'DSCI\xa0102', 'WR\xa0122', 'WR\xa0123']"
12,ACTG,351,4,['ACTG\xa0350']
13,ACTG,352,4,"['ACTG\xa0351', 'FIN\xa0316']"
14,ACTG,360,4,"['BA\xa0101', 'BA\xa0213', 'BA\xa0240', 'EC\xa0201', 'EC\xa0202', 'MATH\xa0241', 'STAT\xa0243', 'WR\xa0122', 'WR\xa0123']"
15,ACTG,401,1-21,
16,ACTG,403,1-12,
17,ACTG,405,1-12,
18,ACTG,406,1-12,
19,ACTG,407,4,
20,ACTG,408,1-21,
21,ACTG,409,1-12,
22,ACTG,410,1-4,"['BA\xa0101', 'BA\xa0213', 'BA\xa0240', 'EC\xa0201', 'EC\xa0202', 'STAT\xa0243', 'MATH\xa0241', 'MATH\xa0246', 'MATH\xa0251']"
23,ACTG,425,4,['BA\xa0213']
24,ACTG,440,4,['ACTG\xa0350']
25,ACTG,450,4,['ACTG\xa0352']
26,ACTG,460,4,
27,ACTG,470,4,"['BA\xa0101', 'BA\xa0213', 'BA\xa0240', 'EC\xa0201', 'EC\xa0202', 'MATH\xa0241', 'STAT\xa0243']"
28,ACTG,480,4,['ACTG\xa0350']
29,ACTG,503,1-16,
30,ACTG,510,1-4,
31,ACTG,525,4,
32,ACTG,540,4,
33,ACTG,550,4,
34,ACTG,560,4,
35,ACTG,570,4,
36,ACTG,580,4,
37,ACTG,601,1-16,
38,ACTG,603,1-16,
39,ACTG,605,1-16,
40,ACTG,606,1-16,
41,ACTG,607,1-5,
42,ACTG,608,1-16,
43,ACTG,609,1-12,
44,ACTG,610,1-5,
45,ACTG,612,3,['BA\xa0211']
46,ACTG,616,4,"['ACTG\xa0570', 'ACTG\xa0617']"
47,ACTG,617,4,
48,ACTG,618,4,['ACTG\xa0617']
49,ACTG,619,4,
50,ACTG,625,3,
51,ACTG,630,4,
52,ACTG,631,4,
53,ACTG,642,4,['ACTG\xa0540']
54,ACTG,662,4,
55,ACTG,681,4,['ACTG\xa0580']
56,ACTG,682,4,"['ACTG\xa0580', 'ACTG\xa0681']"
57,AFR,196,1-5,
58,AFR,198,1-5,
59,AFR,199,1-5,
60,AFR,215,4,
61,AFR,399,1-5,
62,AFR,401,1-12,
63,AFR,403,1-12,
64,AFR,404,1-12,
65,AFR,405,1-12,
66,AFR,406,1-12,
67,AFR,407,1-5,
68,AFR,408,1-12,
69,AFR,409,1-12,
70,AFR,410,1-5,
71,AFR,503,1-12,
72,AFR,507,1-5,
73,AFR,508,1-12,
74,AFR,510,1-5,
75,AFR,601,1-4,
76,AFR,603,1-9,
77,AFR,604,1-4,
78,AFR,605,1-16,
79,AFR,606,1-4,
80,AFR,609,1-16,
81,ASL,101,5,"['WR\xa0122', 'WR\xa0123', 'HC\xa0221', 'HC\xa0231']"
82,ASL,102,5,['ASL\xa0101']
83,ASL,103,5,['ASL\xa0102']
84,ASL,201,4,['ASL\xa0103']
85,ASL,202,4,['ASL\xa0201']
86,ASL,203,4,['ASL\xa0202']
87,ASL,301,4,
88,ASL,399,1-5,
89,ANTH,110,4,
90,ANTH,114,4,
91,ANTH,119,4,
92,ANTH,145,4,
93,ANTH,150,4,
94,ANTH,161,4,
95,ANTH,163,4,
96,ANTH,165,4,
97,ANTH,170,4,
98,ANTH,171,4,
99,ANTH,173,4,
100,ANTH,175,4,
101,ANTH,176,4,
102,ANTH,196,1-2,
103,ANTH,198,1-12,
104,ANTH,199,1-5,
105,ANTH,199,4,
106,ANTH,209,4,['ANTH\xa0161']
107,ANTH,220,4,
108,ANTH,255,4,
109,ANTH,260,4,
110,ANTH,270,4,
111,ANTH,274,4,
112,ANTH,278,4,
113,ANTH,311,4,['ANTH\xa0161']
114,ANTH,315,4,
115,ANTH,320,4,['ANTH\xa0161']
116,ANTH,329,4,
117,ANTH,330,4,
118,ANTH,331,4,
119,ANTH,332,4,
120,ANTH,340,4,"['ANTH\xa0145', 'ANTH\xa0150']"
121,ANTH,341,4,
122,ANTH,342,4,
123,ANTH,343,4,"['ANTH\xa0145', 'ANTH\xa0150']"
124,ANTH,344,4,
125,ANTH,345,4,
126,ANTH,346,4,
127,ANTH,349,4,
128,ANTH,361,4,"['ANTH\xa0170', 'ANTH\xa0270']"
129,ANTH,362,4,
130,ANTH,365,4,
131,ANTH,366,4,"['ANTH\xa0170', 'ANTH\xa0176', 'ANTH\xa0270', 'HPHY\xa0321']"
132,ANTH,369,4,
133,ANTH,373,4,"['ANTH\xa0145', 'ANTH\xa0150']"
134,ANTH,376,4,"['ANTH\xa0175', 'ANTH\xa0270', 'BI\xa0211', 'BI\xa0282']"
135,ANTH,399,1-5,
136,ANTH,399,4,
137,ANTH,400,1-5,
138,ANTH,401,1-21,
139,ANTH,403,1-12,
140,ANTH,405,1-12,
141,ANTH,406,1-12,
142,ANTH,407,1-5,
143,ANTH,408,1-21,
144,ANTH,409,1-12,
145,ANTH,410,1-5,
146,ANTH,417,4,
147,ANTH,420,4,['ANTH\xa0161']
148,ANTH,425,4,['ANTH\xa0161']
149,ANTH,427,4,
150,ANTH,428,4,"['ANTH\xa0427', 'JCOM\xa0427', 'JCOM\xa0428']"
151,ANTH,434,4,"['ANTH\xa0161', 'ANTH\xa0330']"
152,ANTH,438,4,
153,ANTH,441,4,
154,ANTH,442,4,"['ANTH\xa0145', 'ANTH\xa0150']"
155,ANTH,446,4,
156,ANTH,448,4,"['ANTH\xa0145', 'ANTH\xa0150']"
157,ANTH,449,4,"['ANTH\xa0145', 'ANTH\xa0150']"
158,ANTH,453,4,
159,ANTH,456,4,"['ANTH\xa0145', 'ANTH\xa0150']"
160,ANTH,459,4,"['ANTH\xa0175', 'ANTH\xa0270', 'ANTH 468', 'BI\xa0380', 'ANTH\xa0175']"
161,ANTH,463,4,"['ANTH\xa0171', 'ANTH\xa0270']"
162,ANTH,467,4,['ANTH\xa0270']
163,ANTH,470,4,"['STAT\xa0243', 'MATH\xa0425']"
164,ANTH,471,4,"['ANTH\xa0145', 'ANTH\xa0150']"
165,ANTH,472,4,"['ANTH\xa0171', 'ANTH\xa0270']"
166,ANTH,473,4,"['ANTH\xa0176', 'ANTH\xa0366']"
167,ANTH,475,4,['ANTH\xa0176']
168,ANTH,479,4,"['ANTH\xa0170', 'ANTH\xa0176', 'ANTH\xa0270', 'ANTH\xa0366', 'BI\xa0212']"
169,ANTH,481,4,"['ANTH\xa0170', 'ANTH\xa0270']"
170,ANTH,487,4,['ANTH\xa0270']
171,ANTH,500,1-5,
172,ANTH,503,1-16,
173,ANTH,507,1-5,
174,ANTH,508,1-21,
175,ANTH,510,1-5,
176,ANTH,520,4,
177,ANTH,525,4,
178,ANTH,527,4,
179,ANTH,528,4,"['ANTH\xa0527', 'JCOM\xa0527']"
180,ANTH,534,4,
181,ANTH,538,4,
182,ANTH,541,4,
183,ANTH,542,4,
184,ANTH,546,4,
185,ANTH,548,4,
186,ANTH,549,4,
187,ANTH,553,4,
188,ANTH,559,4,
189,ANTH,563,4,
190,ANTH,567,4,
191,ANTH,570,4,
192,ANTH,571,4,
193,ANTH,572,4,
194,ANTH,573,4,
195,ANTH,575,4,
196,ANTH,579,4,
197,ANTH,581,4,
198,ANTH,587,4,
199,ANTH,601,1-16,
200,ANTH,603,1-16,
201,ANTH,605,1-16,
202,ANTH,606,1-16,
203,ANTH,607,1-5,
204,ANTH,608,1-12,
205,ANTH,609,1-12,
206,ANTH,610,1-5,
207,ANTH,611,4,
208,ANTH,615,4,
209,ANTH,680,5,
210,ANTH,681,5,
211,ANTH,685,2-4,
212,ANTH,689,5,
213,ARB,101,5,
214,ARB,102,5,['ARB\xa0101']
215,ARB,103,5,['ARB\xa0102']
216,ARB,199,1-10,
217,ARB,301,4,['ARB\xa0103']
218,ARB,302,4,['ARB\xa0301']
219,ARB,303,4,['ARB\xa0302']
220,ARB,331,4,['ARB 202']
221,ARB,353,4,
222,ARB,399,1-5,
223,ARB,405,1-5,
224,ARB,406,1-12,
225,ARB,407,1-5,
226,ARB,409,1-12,
227,ARB,410,1-5,
228,ARB,507,1-5,
229,ARB,510,1-5,
230,ARB,605,1-16,
231,ARCH,196,1-12,
232,ARCH,198,1-3,
233,ARCH,199,1-5,
234,ARCH,201,4,
235,ARCH,202,3,"['ARCH\xa0201', 'IARC\xa0204', 'ARCH\xa0283']"
236,ARCH,222,4,['ARCH\xa0202']
237,ARCH,283,6,"['ARCH\xa0201', 'IARC\xa0204', 'ARCH\xa0202']"
238,ARCH,284,6,"['ARCH\xa0202', 'ARCH\xa0283', 'ARCH\xa0222']"
239,ARCH,383,6,['ARCH\xa0284']
240,ARCH,384,6,"['ARCH\xa0222', 'ARCH\xa0383']"
241,ARCH,399,1-6,
242,ARCH,400,1-5,
243,ARCH,401,1-6,
244,ARCH,403,1-9,
245,ARCH,404,1-12,
246,ARCH,405,1-12,
247,ARCH,406,1-12,
248,ARCH,407,1-6,
249,ARCH,408,1-6,
250,ARCH,409,1-12,
251,ARCH,410,1-6,
252,ARCH,410,1-6,
253,ARCH,417,4,"['ARCH\xa0484', 'IARC\xa0484', 'LA\xa0489']"
254,ARCH,423,3,['ARCH\xa0202']
255,ARCH,425,3,
256,ARCH,430,4,['ARCH\xa0284']
257,ARCH,431,3,
258,ARCH,435,4,
259,ARCH,437,3,
260,ARCH,438,3,
261,ARCH,439,3,
262,ARCH,440,4,['ARCH\xa0284']
263,ARCH,450,4,['ARCH\xa0284']
264,ARCH,458,3,"['ARCH\xa0384', 'ARCH\xa0450']"
265,ARCH,461,6,"['PHYS\xa0201', 'ARCH\xa0470']"
266,ARCH,462,6,['ARCH\xa0461']
267,ARCH,470,4,['ARCH\xa0284']
268,ARCH,471,4,"['ARCH\xa0462', 'ARCH\xa0470', 'ARCH\xa0491']"
269,ARCH,473,4,
270,ARCH,474,4,
271,ARCH,476,4,['ARCH\xa0484']
272,ARCH,480,1-3,['ARCH\xa0384']
273,ARCH,484,6,['ARCH\xa0384']
274,ARCH,485,8,['ARCH\xa0484']
275,ARCH,486,8,['ARCH\xa0485']
276,ARCH,491,4,['ARCH\xa0284']
277,ARCH,492,4,['ARCH\xa0284']
278,ARCH,493,4,"['ARCH\xa0491', 'ENVS\xa0493']"
279,ARCH,494,4,"['ARCH\xa0491', 'ENVS\xa0494']"
280,ARCH,495,3,['ARCH\xa0492']
281,ARCH,496,4,"['ARCH\xa0470', 'ARCH\xa0491']"
282,ARCH,498,4,['ARCH\xa0384']
283,ARCH,500,1-5,
284,ARCH,503,1-9,
285,ARCH,507,1-6,
286,ARCH,508,1-6,
287,ARCH,510,1-6,
288,ARCH,510,1-6,
289,ARCH,517,4,
290,ARCH,523,3,['ARCH\xa0611']
291,ARCH,525,3,
292,ARCH,530,4,"['ARCH\xa0680', 'ARCH\xa0683']"
293,ARCH,531,3,
294,ARCH,535,4,
295,ARCH,537,3,
296,ARCH,538,3,
297,ARCH,539,3,
298,ARCH,540,4,"['ARCH\xa0680', 'ARCH\xa0683']"
299,ARCH,550,4,['ARCH\xa0680']
300,ARCH,558,3,"['ARCH\xa0550', 'ARCH\xa0682', 'ARCH\xa0683']"
301,ARCH,561,6,
302,ARCH,562,6,['ARCH\xa0561']
303,ARCH,570,4,['ARCH\xa0680']
304,ARCH,571,4,
305,ARCH,573,4,
306,ARCH,574,4,
307,ARCH,576,4,
308,ARCH,580,1-3,"['ARCH\xa0681', 'ARCH\xa0683']"
309,ARCH,584,6,"['ARCH\xa0682', 'ARCH\xa0683']"
310,ARCH,585,8,['ARCH\xa0584']
311,ARCH,586,8,['ARCH\xa0585']
312,ARCH,591,4,"['ARCH\xa0680', 'ARCH\xa0683']"
313,ARCH,592,4,"['ARCH\xa0680', 'ARCH\xa0683']"
314,ARCH,593,4,['ARCH\xa0591']
315,ARCH,594,4,['ARCH\xa0591']
316,ARCH,595,3,['ARCH\xa0592']
317,ARCH,596,4,"['ARCH\xa0570', 'ARCH\xa0591']"
318,ARCH,598,4,
319,ARCH,600,1-5,
320,ARCH,601,1-6,
321,ARCH,603,1-9,
322,ARCH,604,1-9,
323,ARCH,605,1-16,
324,ARCH,606,1-16,
325,ARCH,607,1-5,
326,ARCH,608,1-6,
327,ARCH,609,1-16,
328,ARCH,610,1-6,
329,ARCH,610,1-4,
330,ARCH,611,3,
331,ARCH,619,1-9,
332,ARCH,620,2-6,
333,ARCH,631,4,
334,ARCH,633,4,
335,ARCH,661,1-3,
336,ARCH,678,2-6,
337,ARCH,680,6,
338,ARCH,681,6,['ARCH\xa0680']
339,ARCH,682,6,['ARCH\xa0681']
340,ARCH,683,6,
341,ARCH,695,4-6,
342,ART,101,4,
343,ART,111,4,
344,ART,115,4,
345,ART,116,4,['ART\xa0115']
346,ART,198,1-3,
347,ART,199,1-5,
348,ART,233,4,
349,ART,333,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233']"
350,ART,381,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233']"
351,ART,401,1-12,
352,ART,404,1-12,
353,ART,405,1-12,
354,ART,406,1-12,
355,ART,407,1-4,
356,ART,408,1-6,
357,ART,409,1-12,
358,ART,410,1-6,
359,ART,412,3,
360,ART,507,1-4,
361,ART,508,1-6,
362,ART,510,1-6,
363,ART,601,1-12,
364,ART,604,1-12,
365,ART,605,1-16,
366,ART,606,1-16,
367,ART,607,1-4,
368,ART,608,1-16,
369,ART,609,1-16,
370,ART,610,1-6,
371,ART,612,3,
372,ART,614,4,
373,ARH,150,4,
374,ARH,199,1-5,
375,ARH,204,4,
376,ARH,205,4,
377,ARH,206,4,
378,ARH,208,4,
379,ARH,209,4,
380,ARH,211,4,
381,ARH,314,4,
382,ARH,315,4,
383,ARH,316,4,
384,ARH,317,4,
385,ARH,321,4,
386,ARH,322,4,
387,ARH,323,4,
388,ARH,325,4,
389,ARH,327,4,
390,ARH,341,4,
391,ARH,343,4,
392,ARH,350,4,
393,ARH,351,4,
394,ARH,352,4,
395,ARH,353,4,
396,ARH,354,4,
397,ARH,358,4,
398,ARH,359,4,
399,ARH,368,4,
400,ARH,372,4,
401,ARH,373,4,
402,ARH,382,4,
403,ARH,387,4,
404,ARH,399,1-5,
405,ARH,401,1-8,
406,ARH,403,1-6,['ARH\xa0401']
407,ARH,404,1-5,
408,ARH,405,1-5,
409,ARH,406,1-12,
410,ARH,407,1-5,
411,ARH,408,1-5,
412,ARH,409,1-12,
413,ARH,410,1-5,
414,ARH,411,4,
415,ARH,421,4,
416,ARH,425,4,
417,ARH,440,4,
418,ARH,450,4,
419,ARH,451,4,
420,ARH,453,4,
421,ARH,456,4,"['ARH\xa0206', 'ARH\xa0315']"
422,ARH,457,4,
423,ARH,462,4,"['ARH\xa0206', 'ARH\xa0315']"
424,ARH,465,4,"['ARH\xa0206', 'ARH\xa0315']"
425,ARH,466,4,"['ARH\xa0206', 'ARH\xa0315']"
426,ARH,471,4,
427,ARH,481,4,
428,ARH,485,4,
429,ARH,488,4,
430,ARH,503,1-9,
431,ARH,507,1-5,
432,ARH,508,1-5,
433,ARH,510,1-5,
434,ARH,521,4,
435,ARH,525,4,
436,ARH,540,4,
437,ARH,550,4,
438,ARH,551,4,
439,ARH,553,4,
440,ARH,556,4,
441,ARH,557,4,
442,ARH,562,4,
443,ARH,565,4,
444,ARH,566,4,
445,ARH,571,4,
446,ARH,581,4,
447,ARH,585,4,
448,ARH,588,4,
449,ARH,601,1-9,
450,ARH,603,1-9,
451,ARH,604,1-9,
452,ARH,605,1-16,
453,ARH,606,1-16,
454,ARH,607,1-5,
455,ARH,608,1-16,
456,ARH,609,1-12,
457,ARH,610,1-5,
458,ARH,611,4,
459,ARH,614,1-12,
460,ARTD,198,1-3,
461,ARTD,199,1-5,
462,ARTD,250,4,
463,ARTD,251,4,
464,ARTD,252,4,
465,ARTD,256,4,"['JCOM\xa0201', 'ENG\xa0260', 'CINE\xa0260', 'CINE\xa0265', 'CINE\xa0266', 'CINE\xa0267']"
466,ARTD,350,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'ARTD\xa0250']"
467,ARTD,360,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'ARTD\xa0250']"
468,ARTD,361,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'ARTD\xa0251']"
469,ARTD,362,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'ARTD\xa0250']"
470,ARTD,370,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'ARTD\xa0252']"
471,ARTD,378,5,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'ARTD\xa0252']"
472,ARTD,379,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'ARTD\xa0251']"
473,ARTD,401,1-12,
474,ARTD,404,1-12,
475,ARTD,405,1-12,
476,ARTD,406,1-12,
477,ARTD,407,1-4,
478,ARTD,408,1-6,
479,ARTD,409,1-12,
480,ARTD,410,1-6,
481,ARTD,412,5,['ARTD\xa0361']
482,ARTD,413,5,"['ARTD\xa0370', 'ARTD\xa0378', 'ARTD 416']"
483,ARTD,415,4,
484,ARTD,463,4,['ARTD\xa0350']
485,ARTD,471,5,"['ARTD\xa0350', 'ARTD\xa0361']"
486,ARTD,472,5,['ARTD\xa0471']
487,ARTD,490,1-5,
488,ARTD,507,1-4,
489,ARTD,508,1-6,
490,ARTD,510,1-6,
491,ARTD,512,5,
492,ARTD,513,5,['ARTD 516']
493,ARTD,515,4,
494,ARTD,563,4,
495,ARTD,571,5,
496,ARTD,572,5,['ARTD\xa0571']
497,ARTD,601,1-12,
498,ARTD,604,1-12,
499,ARTD,605,1-16,
500,ARTD,606,1-16,
501,ARTD,607,1-4,
502,ARTD,608,1-16,
503,ARTD,609,1-16,
504,ARTD,610,1-6,
505,ARTC,199,1-5,
506,ARTC,255,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'PD\xa0223']"
507,ARTC,354,4,"['ART\xa0115', 'ART\xa0116', 'ARTS\xa0288', 'ART\xa0233', 'PD\xa0223']"
508,ARTC,355,4-5,['ARTC\xa0255']
509,ARTC,401,1-12,
510,ARTC,404,1-12,
511,ARTC,405,1-12,
512,ARTC,406,1-12,
513,ARTC,407,1-3,
514,ARTC,408,1-6,
515,ARTC,409,1-12,
516,ARTC,410,1-6,
517,ARTC,455,4,['ARTC\xa0355']
518,ARTC,507,1-3,
519,ARTC,508,1-6,
520,ARTC,510,1-6,
521,ARTC,555,4,
522,ARTC,601,1-12,
523,ARTC,604,1-12,
524,ARTC,605,1-16,
525,ARTC,606,1-16,
526,ARTC,607,1-4,
527,ARTC,608,1-16,
528,ARTC,609,1-16,
529,ARTC,610,1-6,
530,ARTF,199,1-5,
531,ARTF,270,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233']"
532,ARTF,368,4,['ARTF\xa0270']
533,ARTF,369,4,['ARTF\xa0270']
534,ARTF,370,4,['ARTF\xa0270']
535,ARTF,401,1-12,
536,ARTF,404,1-12,
537,ARTF,405,1-6,
538,ARTF,406,1-12,
539,ARTF,407,1-3,
540,ARTF,408,1-6,
541,ARTF,409,1-12,
542,ARTF,410,1-6,
543,ARTF,456,3-5,"['ARTF\xa0270', 'ARTF\xa0368', 'ARTF\xa0369']"
544,ARTF,507,1-3,
545,ARTF,508,1-6,
546,ARTF,510,1-6,
547,ARTF,556,3-5,
548,ARTF,601,1-12,
549,ARTF,604,1-12,
550,ARTF,605,1-16,
551,ARTF,606,1-16,
552,ARTF,607,1-4,
553,ARTF,608,1-16,
554,ARTF,609,1-16,
555,ARTF,610,1-6,
556,ARTM,199,1-5,
557,ARTM,257,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233']"
558,ARTM,357,3-5,['ARTM\xa0257']
559,ARTM,401,1-12,
560,ARTM,404,1-12,
561,ARTM,405,1-6,
562,ARTM,406,1-12,
563,ARTM,407,1-3,
564,ARTM,408,1-6,
565,ARTM,409,1-12,
566,ARTM,410,1-6,
567,ARTM,457,3-5,['ARTM\xa0357']
568,ARTM,459,3-5,['ARTM\xa0357']
569,ARTM,507,1-3,
570,ARTM,508,1-6,
571,ARTM,510,1-6,
572,ARTM,557,3-5,['ARTM\xa0357']
573,ARTM,559,3-5,['ARTM\xa0357']
574,ARTM,601,1-12,
575,ARTM,604,1-12,
576,ARTM,605,1-16,
577,ARTM,606,1-16,
578,ARTM,607,1-4,
579,ARTM,608,1-16,
580,ARTM,609,1-16,
581,ARTM,610,1-6,
582,ARTP,199,1-5,
583,ARTP,281,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233']"
584,ARTP,381,4,['ARTP\xa0281']
585,ARTP,390,4,['ARTP\xa0381']
586,ARTP,391,4,['ART\xa0333']
587,ARTP,401,1-12,
588,ARTP,404,1-12,
589,ARTP,405,1-6,
590,ARTP,406,1-12,
591,ARTP,407,1-3,
592,ARTP,408,1-6,
593,ARTP,409,1-12,
594,ARTP,410,1-6,
595,ARTP,507,1-3,
596,ARTP,508,1-6,
597,ARTP,510,1-6,
598,ARTP,601,1-12,
599,ARTP,604,1-12,
600,ARTP,605,1-16,
601,ARTP,606,1-12,
602,ARTP,607,1-4,
603,ARTP,608,1-16,
604,ARTP,609,1-16,
605,ARTP,610,1-6,
606,ARTO,199,1-5,
607,ARTO,250,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233']"
608,ARTO,350,4,['ARTO\xa0250']
609,ARTO,351,4,
610,ARTO,352,4,['ARTO\xa0350']
611,ARTO,401,1-12,
612,ARTO,404,1-12,
613,ARTO,405,1-6,
614,ARTO,406,1-12,
615,ARTO,407,1-4,
616,ARTO,408,1-6,
617,ARTO,409,1-12,
618,ARTO,410,1-6,
619,ARTO,455,4,['ARTO\xa0250']
620,ARTO,476,4,"['ARTO\xa0350', 'ARTO\xa0351', 'ARTO\xa0352']"
621,ARTO,484,4,['ARTO 450']
622,ARTO,507,1-4,
623,ARTO,508,1-6,
624,ARTO,510,1-6,
625,ARTO,555,4,
626,ARTO,576,4,
627,ARTO,584,4,['ARTO 554']
628,ARTO,601,1-12,
629,ARTO,604,1-12,
630,ARTO,605,1-16,
631,ARTO,606,1-16,
632,ARTO,607,1-4,
633,ARTO,608,1-16,
634,ARTO,609,1-16,
635,ARTO,610,1-6,
636,ARTR,199,1-5,
637,ARTR,245,4,"['ART\xa0116', 'ARTS\xa0288', 'ART\xa0233']"
638,ARTR,346,4,['ARTR\xa0245']
639,ARTR,347,4,['ARTR\xa0245']
640,ARTR,348,4,['ARTR\xa0245']
641,ARTR,401,1-12,
642,ARTR,404,1-12,
643,ARTR,405,1-6,
644,ARTR,406,1-12,
645,ARTR,407,1-3,
646,ARTR,408,1-6,
647,ARTR,409,1-12,
648,ARTR,410,1-6,
649,ARTR,446,4,"['ARTR\xa0245', 'ARTR\xa0346', 'ARTR\xa0347', 'ARTR\xa0348']"
650,ARTR,507,1-3,
651,ARTR,508,1-6,
652,ARTR,510,1-6,
653,ARTR,546,4-6,
654,ARTR,601,1-12,
655,ARTR,604,1-12,
656,ARTR,605,1-16,
657,ARTR,606,1-16,
658,ARTR,607,1-4,
659,ARTR,608,1-16,
660,ARTR,609,1-16,
661,ARTR,610,1-6,
662,ARTS,199,1-5,
663,ARTS,288,3-5,['ART\xa0115']
664,ARTS,393,3-5,['ARTS\xa0288']
665,ARTS,401,1-12,
666,ARTS,404,1-12,
667,ARTS,405,1-6,
668,ARTS,406,1-12,
669,ARTS,407,1-3,
670,ARTS,408,1-6,
671,ARTS,409,1-12,
672,ARTS,410,1-6,
673,ARTS,490,3-5,
674,ARTS,491,4,['ARTS\xa0393']
675,ARTS,493,4,"['ARTS\xa0288', 'ARTS\xa0393']"
676,ARTS,507,1-3,
677,ARTS,508,1-6,
678,ARTS,510,1-6,
679,ARTS,590,3-5,
680,ARTS,591,4,
681,ARTS,601,1-12,
682,ARTS,604,1-12,
683,ARTS,605,1-16,
684,ARTS,606,1-16,
685,ARTS,607,1-4,
686,ARTS,608,1-16,
687,ARTS,609,1-16,
688,ARTS,610,1-6,
689,ASIA,111,4,
690,ASIA,199,1-5,
691,ASIA,350,4,
692,ASIA,399,1-5,
693,ASIA,401,1-16,
694,ASIA,403,1-12,
695,ASIA,405,1-16,
696,ASIA,406,1-16,
697,ASIA,407,1-5,
698,ASIA,409,1-12,
699,ASIA,410,1-5,
700,ASIA,425,4,
701,ASIA,480,4,
702,ASIA,503,1-9,
703,ASIA,507,1-5,
704,ASIA,510,1-5,
705,ASIA,525,4,
706,ASIA,580,4,
707,ASIA,601,1-16,
708,ASIA,605,1-16,
709,ASIA,607,1-5,
710,ASIA,609,1-12,
711,ASIA,612,3,
712,ASTR,121,4,
713,ASTR,122,4,
714,ASTR,123,4,
715,ASTR,199,1-5,
716,ASTR,321,4,
717,BEHT,320,3,
718,BEHT,321,4,
719,BEHT,340,4,
720,BEHT,350,4,
721,BEHT,351,3,['BEHT\xa0350']
722,BEHT,399,1-5,
723,BEHT,401,1-12,
724,BEHT,402,1-12,
725,BEHT,403,1-12,
726,BEHT,404,1-12,
727,BEHT,405,1-12,
728,BEHT,406,1-12,
729,BEHT,407,1-5,
730,BEHT,408,1-12,
731,BEHT,409,1-12,
732,BEHT,410,1-5,
733,BEHT,411,4,
734,BEHT,412,4,
735,BEHT,413,4,
736,BEHT,450,3,"['BEHT\xa0350', 'BEHT\xa0351']"
737,BEHT,451,3,"['BEHT\xa0350', 'BEHT\xa0351']"
738,BEHT,452,3,"['BEHT\xa0350', 'BEHT\xa0351']"
739,BEHT,453,3,"['BEHT\xa0350', 'BEHT\xa0351']"
740,BEHT,454,3,"['BEHT\xa0350', 'BEHT\xa0351']"
741,BEHT,455,3,"['BEHT\xa0350', 'BEHT\xa0351']"
742,BEHT,471,4,['BEHT\xa0411']
743,BEHT,472,4,['BEHT\xa0471']
744,BEHT,473,4,['BEHT\xa0411']
745,BEHT,474,4,['BEHT\xa0411']
746,BEHT,481,4,['BEHT\xa0412']
747,BEHT,482,4,['BEHT\xa0481']
748,BEHT,487,8,['BEHT\xa0482']
749,BEHT,488,8,['BEHT\xa0487']
750,BEHT,489,8,['BEHT\xa0488']
751,BEHT,503,1-16,
752,BEHT,507,1-5,
753,BEHT,508,1-12,
754,BEHT,510,1-5,
755,BEHT,601,1-16,
756,BEHT,603,1-16,
757,BEHT,604,1-9,
758,BEHT,605,1-16,
759,BEHT,606,1-16,
760,BEHT,607,1-5,
761,BEHT,608,1-16,
762,BEHT,609,1-16,
763,BEHT,610,1-5,
764,BEHT,621,4,
765,BEHT,622,4,
766,BEHT,623,4,
767,BIOE,196,1-12,
768,BIOE,198,1-12,
769,BIOE,199,1-5,
770,BIOE,251,4,"['MATH\xa0247', 'MATH\xa0252', 'PHYS\xa0201', 'PHYS\xa0251']"
771,BIOE,252,4,"['MATH\xa0247', 'MATH\xa0252', 'PHYS\xa0202', 'PHYS\xa0252']"
772,BIOE,253,4,"['MATH\xa0247', 'MATH\xa0252', 'PHYS\xa0202', 'PHYS\xa0252']"
773,BIOE,299,1-5,
774,BIOE,399,1-5,
775,BIOE,401,1-12,
